,@ID,@Grade,@Source,Body,Body_trans,Question,Question_trans,Solution-Type,Answer,Formula
0,nluds-0760,4,http://www.ck12.org,"Jane can arrange 16 vases of flowers in a day. If there are 248 vases of flowers to be arranged,","Jane은 하루에 16개의 꽃병을 준비할 수 있습니다. 248개의 꽃병을 놓을 경우,",how many days are needed for her to finish all the flower arrangements?,그녀가 모든 꽃꽂이를 마치려면 며칠이 필요합니까?,Ceil-Division,16 (days),248/16=15 r8
1,nluds-0255,3,http://www.k5learning.com,Pinky made 147 miniature pumpkin pies for everyone and Helen made 56.,핑키는 모두를 위해 147개의 미니어처 호박 파이를 만들고 헬렌은 56개를 만들었습니다.,How many miniature pies do they have in total?,미니어처 파이는 총 몇 개입니까?,Addition,203 (miniature pies),147+56=203
2,nluds-0606,3,http://www.k5learning.com,"Tony had $20. He paid $8 for a ticket to a baseball game. At the game, he bought a hot dog for $3.",토니는 20달러를 가지고 있었다. 그는 야구 경기 티켓을 위해 8달러를 지불했습니다. 게임에서 그는 핫도그를 3달러에 샀습니다.,What amount of money did Tony have then?,그때 토니가 가진 돈은 얼마였습니까?,TVQ-Final,9 (dollars),20-8-3=9
3,nluds-0467,3,http://www.k5learning.com,"Christian's mother prepared lemonade. Every pitcher of lemonade can serve 5 glasses. If she was able to serve 30 glasses of lemonade,","Christian의 어머니는 레모네이드를 준비했습니다. 레모네이드의 모든 투수는 5잔을 제공할 수 있습니다. 그녀가 레모네이드 3잔을 대접할 수 있다면,",how many pitchers of lemonade did she prepare?,그녀는 얼마나 많은 레모네이드 투수를 준비했습니까?,Common-Division,6 (pitchers),30/5=6
4,nluds-0939,3,http://www.mathplayground.com,Mrs. Randall has taught third grade for 18 years. She has 26 students this year. She also taught second grade for 8 years.,Mrs. Randall은 18년 동안 3학년을 가르쳤습니다. 그녀는 올해 26명의 학생이 있습니다. 그녀는 또한 8년 동안 2학년을 가르쳤습니다.,How many years has Mrs. Randall been teaching?,Randall 부인은 몇 년 동안 가르쳤습니까?,Addition,26 (years),18+8=26
5,nluds-0009,1,http://www.k5learning.com,14 red plums and four green plums are in the basket.,빨간 자두 14개와 녹색 자두 4개가 바구니에 들어 있습니다.,How many plums are in the basket?,바구니에 자두가 몇 개 있습니까?,Addition,18 (plums),4+14=18
6,nluds-1924,2,http://www.commoncoresheets.com,"For a party Adam bought ninety-seven cupcakes. If fifty-eight were eaten,","파티를 위해 Adam은 97개의 컵케이크를 샀습니다. 쉰여덟 개를 먹었다면,",how many cupcakes would Adam have left?,Adam은 몇 개의 컵케이크를 남겼을까요?,Subtraction,39 (cupcakes),97-58=39
7,nluds-0056,1,http://www.k5learning.com,"There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus.",통학버스에는 10명의 학생이 타고 있었다. 첫 번째 정류장에서 3명의 학생이 버스에서 내렸습니다.,How many students are left on the bus?,버스에 남은 학생은 몇 명입니까?,Subtraction,7 (students),10-3=7
8,nluds-0005,1,http://www.k5learning.com,Adam has five more apples than Jackie. Jackie has nine apples.,Adam은 Jackie보다 사과가 다섯 개 더 많습니다. Jackie는 9개의 사과를 가지고 있습니다.,How many apples does Adam have?,Adam은 몇 개의 사과를 가지고 있습니까?,Addition,14 (apples),5+9=14
9,nluds-1715,6,http://www.commoncoresheets.com,At the produce store you can buy 2 bags of bananas for $12.46.,농산물 가게에서 바나나 2봉지를 $12.46에 살 수 있습니다.,How much would it cost if you were to buy 6 bags?,6봉지를 사면 얼마가 들까요?,"{'@Subgoal-1': 'Common-Division', '#text': 'Multiplication'}",37.38 (dollars),(12.46/2)*6=37.38
