,@ID,@Grade,@Source,Body,Body_trans,Question,Question_trans,Solution-Type,Answer,Formula
0,nluds-1028,3,http://www.mathplayground.com,Paul and Vinnie deliver newspapers. Paul made $14 in tips. Vinnie made $16 more than Paul.,Paul과 Vinnie는 신문을 배달합니다. Paul은 팁으로 14달러를 벌었습니다. Vinnie는 Paul보다 16달러를 더 벌었습니다.,How much did Vinnie make?,Vinnie는 얼마를 벌었습니까?,Addition,30 (dollars),14+16=30
1,nluds-0258,3,http://www.k5learning.com,"The very first thing that Rachel tried when they reached England was the food. If she ate 276 grams of bacon and 147 grams of sausages,","Rachel이 영국에 도착했을 때 가장 먼저 시도한 것은 음식이었습니다. 그녀가 276g의 베이컨과 147g의 소시지를 먹었다면,",how much food did she eat in total?,그녀는 총 얼마나 많은 음식을 먹었습니까?,Addition,423 (grams),276+147=423
2,nluds-1698,6,http://www.commoncoresheets.com,"An ice company charged $1.46 for 2 bags of ice. If a convenience store bought 4 bags of ice,",얼음 회사는 얼음 2봉지에 1.46달러를 청구했습니다. 편의점에서 얼음 4봉지 사면,how much would it have cost them?,비용이 얼마나 들까요?,"{'@Subgoal-1': 'Common-Division', '#text': 'Multiplication'}",2.92 (dollars),(1.46/2)*4=2.92
3,nluds-1777,4,http://www.commoncoresheets.com,"Katie had 9 math problems for homework. If she finished 5 of them on the bus ride home,","Katie는 숙제로 9개의 수학 문제가 있었습니다. 집에 가는 버스에서 5개를 완성했다면,",how many more did she have to do?,그녀는 얼마나 더 해야 했는가?,Subtraction,4 (math problems),9-5=4
4,nluds-2292,3,http://www.dadsworksheets.com,"Peter has 54 tickets and 4 pencils. If he shares the tickets among 9 friends,","Peter는 54장의 티켓과 4개의 연필을 가지고 있습니다. 9명의 친구에게 티켓을 공유하면,",how many tickets does each friend get?,각 친구는 몇 장의 티켓을 얻습니까?,Common-Division,6 (tickets),54/9=6
5,nluds-0505,3,http://www.k5learning.com,"They also gathered paper to create some star-shaped papier-mache. If each star requires 20 pieces of paper and they had 680 pieces of paper,","그들은 또한 별 모양의 종이 뭉치를 만들기 위해 종이를 모았습니다. 각 별이 20장의 종이를 필요로 하고 680장의 종이가 있다면,",how many stars were they able to make?,그들은 얼마나 많은 별을 만들 수 있었습니까?,Common-Division,34 (stars),680/20=34
6,nluds-0537,3,http://www.k5learning.com,"If you had 37 bags of cookies with 19 cookies in each bag,","한 봉지에 19개의 쿠키가 들어 있는 37개의 쿠키 봉지가 있다면,",how many cookies would you have?,쿠키가 몇 개나 될까요?,Multiplication,703 (cookies),37*19=703
7,nluds-0523,3,http://www.k5learning.com,179 birds were sitting in a tree. 38 more birds flew up to the tree.,179마리의 새가 나무에 앉아 있었습니다. 38마리의 새가 나무 위로 날아올랐다.,How many birds were there altogether in the tree?,나무에 새가 모두 몇 마리나 있었습니까?,Addition,217 (birds),179+38=217
8,nluds-1776,4,http://www.commoncoresheets.com,"While playing basketball Team A scored 18 points. If each person scored 2 points,",농구를 하면서 A팀은 18점을 득점했다. 1인당 2점을 얻으면,how many people were playing?,얼마나 많은 사람들이 놀고 있었습니까?,Common-Division,9 (people),18/2=9
9,nluds-1855,1,http://www.commoncoresheets.com,Isabel had sixteen bottles of water. After a week she had seven left.,이사벨에게는 열여섯 병의 물이 있었습니다. 일주일 후에 그녀는 7개가 남았습니다.,How many did she drink?,그녀는 얼마나 마셨습니까?,Subtraction,9 (bottles of water),16-7=9
10,nluds-1789,4,http://www.commoncoresheets.com,Jerry had to sell boxes of candy. He started out with 10 boxes and then sold 5.,Jerry는 사탕 상자를 팔아야 했습니다. 그는 10개의 상자로 시작하여 5개의 상자를 판매했습니다.,How many boxes did he have left?,그에게 남은 상자는 몇 개였습니까?,Subtraction,5 (boxes),10-5=5
11,nluds-1897,2,http://www.commoncoresheets.com,Paul had eighty-six books. After selling some in a garage sale he had seventy-eight left.,바울은 86권의 책을 가지고 있었습니다. 차고 세일에서 일부를 팔고 나서 그는 78개가 남았습니다.,How many books did he sell?,그는 몇 권의 책을 팔았습니까?,Subtraction,8 (books),86-78=8
12,nluds-1755,3,http://www.commoncoresheets.com,Olivia was collecting cans for recycling. She had four bags with five cans inside each bag.,올리비아는 재활용을 위해 캔을 모으고 있었습니다. 그녀는 각 가방 안에 5개의 캔이 들어 있는 4개의 가방을 가지고 있었습니다.,How many cans did she have?,그녀는 몇 개의 캔을 가지고 있었습니까?,Multiplication,20 (cans),4*5=20
13,nluds-2216,3,http://www.commoncoresheets.com,"Gwen was organizing her book case making sure each of the shelves had exactly four books on it. If she had five shelves of mystery books and three shelves of picture books,","그웬은 책장을 정리하여 각 선반에 정확히 4권의 책이 있는지 확인했습니다. 그녀에게 미스터리 책 5칸과 그림책 3칸이 있다면,",how many books did she have total?,그녀는 총 몇 권의 책을 가지고 있었습니까?,"{'@Subgoal-1': 'Addition', '#text': 'Multiplication'}",32 (books),(5+3)*4=32
14,nluds-2203,3,http://www.commoncoresheets.com,"While playing at the arcade, Kaleb won eight tickets playing 'whack a mole' and seven tickets playing 'skee ball'. If he was trying to buy candy that cost five tickets a piece,","아케이드에서 게임을 하는 동안 Kaleb는 &#39;두더지 때리기&#39; 게임 티켓 8장과 &#39;스키볼&#39; 게임 티켓 7장을 받았습니다. 그가 한 장에 5장짜리 사탕을 사려고 했다면,",how many could he buy?,그는 몇 개를 살 수 있었습니까?,"{'@Subgoal-1': 'Addition', '#text': 'Common-Division'}",3 (pieces of candy),(8+7)/5=3
15,nluds-1037,3,http://www.mathplayground.com,Frannie and Meg are in a jump rope contest. Frannie jumped 53 times without missing. She jumped 18 fewer times than Meg.,Frannie와 Meg는 줄넘기 대회에 참가합니다. Frannie는 놓치지 않고 53번이나 뛰었습니다. 그녀는 Meg보다 18번이나 덜 뛰었습니다.,How many times did Meg jump?,메그는 몇 번이나 점프했습니까?,Addition,71 (times),53+18=71
16,nluds-1371,3,http://www.math-aids.com,"After paying 6 dollars for the pie, Sandy has 57 dollars left.",파이 값으로 6달러를 지불한 후 Sandy는 57달러를 남겼습니다.,How much money did she have before buying the pie ?,그녀는 파이를 사기 전에 얼마나 많은 돈을 가지고 있었습니까?,Addition,63 (dollars),6+57=63
17,nluds-0019,1,http://www.k5learning.com,Jake has 34 fewer balls than Audrey. Audrey has 41 balls.,Jake는 Audrey보다 34개의 적은 공을 가지고 있습니다. Audrey는 41개의 공을 가지고 있습니다.,How many balls does Jake have?,Jake는 몇 개의 공을 가지고 있습니까?,Subtraction,7 (balls),41-34=7
18,nluds-2223,3,http://www.commoncoresheets.com,A store had eighty-seven coloring books in stock. They ended up putting them on sale and getting rid of thirty-three of them. The put the ones they still had onto shelves with six on each shelf.,한 가게에 87권의 색칠 공부 책이 있었습니다. 그들은 결국 그것들을 판매하고 그 중 33개를 처분했습니다. 각 선반에 6개씩 있는 선반에 아직 가지고 있던 것을 놓으십시오.,How many shelves did they use?,그들은 몇 개의 선반을 사용했습니까?,"{'@Subgoal-1': 'Subtraction', '#text': 'Common-Division'}",9 (shelves),(87-33)/6=9
19,nluds-0278,3,http://www.k5learning.com,"Since the result of the vote was close, it was decided that they will balance the menu with both meat and vegetables. This decision was agreed upon by 154 third grade students and 237 fourth grade students.",투표 결과가 가까웠기 때문에 고기와 야채를 함께 곁들여 메뉴의 균형을 맞추기로 했다. 이 결정은 154명의 3학년 학생과 237명의 4학년 학생이 동의했습니다.,How many students agreed with the decision?,그 결정에 동의한 학생은 몇 명입니까?,Addition,391 (students),154+237=391
20,nluds-0599,3,http://www.k5learning.com,Iesha has 344 books. 136 are about school and the rest are about sports.,Iesha는 344권의 책을 가지고 있습니다. 136은 학교에 관한 것이고 나머지는 스포츠에 관한 것입니다.,How many books about sports does Iesha have?,Iesha는 스포츠에 관한 책을 몇 권 가지고 있습니까?,Subtraction,208 (books),344-136=208
21,nluds-1881,1,http://www.commoncoresheets.com,"Frank got fifteen pounds of mushroom for family barbecue. If they ate eight pounds,","Frank는 가족 바베큐를 위해 15파운드의 버섯을 얻었습니다. 8파운드를 먹었다면,",how many pounds were left?,몇 파운드 남았어?,Subtraction,7 (pounds),15-8=7
22,nluds-0565,3,http://www.k5learning.com,"Julian is writing a comic book. His story has 143 frames in all. If he wants to put exactly 11 frames on each page,","Julian은 만화책을 쓰고 있습니다. 그의 이야기에는 모두 143개의 프레임이 있습니다. 만약 그가 각 페이지에 정확히 11개의 프레임을 넣고 싶다면,",how many pages would he have?,그는 몇 페이지를 가지고 있을까요?,Common-Division,13 (pages),143/11=13
23,nluds-0288,3,http://www.k5learning.com,"During Halloween, she was able to get a lot of candies from trick or treating. She decided to give away some of them to the homeless kids nearby. If she has 60 candies and gave away 40,","할로윈 동안 그녀는 트릭 오어 트릿을 통해 많은 사탕을 얻을 수 있었습니다. 그녀는 그 중 일부를 근처의 집 없는 아이들에게 주기로 결정했습니다. 그녀가 60개의 사탕을 가지고 40개를 주면,",how many does she have left?,그녀는 얼마나 남았습니까?,Subtraction,20 (candies),60-40=20
24,nluds-2111,3,http://www.commoncoresheets.com,Adam had 8 boxes of toys. Each box had 6 toys. Later Adam bought 5 more toys.,Adam은 8개의 장난감 상자를 가지고 있었습니다. 각 상자에는 6개의 장난감이 있었습니다. 나중에 Adam은 장난감을 5개 더 샀습니다.,How many toys did he have total?,그는 총 몇 개의 장난감을 가지고 있었습니까?,"{'@Subgoal-1': 'Multiplication', '#text': 'Addition'}",53 (toys),8*6+5=53
25,nluds-0316,3,http://www.k5learning.com,"Mike and his brother Joe found a map leading to a buried treasure in an unknown island so they decided to go on a treasure hunt. After decoding the clues on the map, they found out that they need to go to the Island of Mysteries. To get there, they could either take a plane for $600.00 or a boat for $254.00.",Mike와 그의 형제 Joe는 알려지지 않은 섬에 매장된 보물로 이어지는 지도를 발견하여 보물 찾기를 하기로 결정했습니다. 지도의 단서를 해독한 후 그들은 신비의 섬으로 가야 한다는 것을 알게 되었습니다. 거기에 도착하려면 $600.00에 비행기를 타거나 $254.00에 보트를 탈 수 있습니다.,How much money can they save if they took a boat to the island?,배를 타고 섬으로 간다면 얼마나 많은 돈을 절약할 수 있을까요?,Subtraction,346 (dollars),600-254=346
26,nluds-0928,3,http://www.mathplayground.com,Mom made 32 chocolate chip cookies. It took 24 minutes to mix the ingredients and 16 minutes to bake. Julie and Matt ate 9 cookies after dinner.,"엄마는 32개의 초코칩 쿠키를 만들었어요. 재료를 섞는 데 24분, 굽는 데 16분이 걸렸다. Julie와 Matt는 저녁 식사 후 쿠키 9개를 먹었습니다.",How many cookies were left?,쿠키가 몇 개나 남았습니까?,Subtraction,23 (cookies),32-9=23
27,nluds-0392,3,http://www.k5learning.com,"She also estimated the number of candies that she will receive from each block. If she will receive around 7 pieces of candies from every house, and there are 5 houses in a block,","그녀는 또한 각 블록에서 받을 사탕 수를 추정했습니다. 그녀가 집집마다 사탕을 7개 정도 받고 한 블록에 집이 5개 있다면,",how many candies will she receive from each block?,그녀는 각 블록에서 몇 개의 사탕을 받게 될까요?,Multiplication,35 (candies),7*5=35
28,nluds-0052,1,http://www.k5learning.com,"Shelby's teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more.",Shelby의 선생님은 수학을 잘하면 금 별을 줍니다. 어제 Shelby는 별 4개를 획득했습니다. 오늘 그녀는 3개를 더 벌었습니다.,How many gold stars did Shelby earn in all?,Shelby는 모두 몇 개의 금 별을 얻었습니까?,Addition,7 (gold stars),4+3=7
29,nluds-0593,3,http://www.k5learning.com,"I have 648 pencils. If I put 4 pencils in each pencil box,",648개의 연필이 있습니다. 각 연필 상자에 연필 4개를 넣으면,how many pencil boxes will I fill?,나는 몇 개의 연필 상자를 채울 것인가?,Common-Division,162 (pencil boxes),648/4=162
30,nluds-0444,3,http://www.k5learning.com,"The sanctuary also includes several swamp areas where most of the reptiles usually reside. If there are 4 swamps, each having 356 different reptiles,","성역에는 또한 대부분의 파충류가 일반적으로 거주하는 여러 늪 지역이 있습니다. 4개의 늪이 있고 각각 356개의 다른 파충류가 있다면,",how many reptiles are living in the swamp areas?,늪지대에는 얼마나 많은 파충류가 살고 있습니까?,Multiplication,1424 (reptiles),4*356=1424
31,nluds-0325,3,http://www.k5learning.com,"At the edge of the forest, an anthill is blocking the way out. In order to pass through, he needs to help the ants gather food. If the ants need 911 grains of food and they already have 762,","숲 가장자리에는 개미집이 출구를 막고 있습니다. 통과하려면 개미들이 음식을 모으는 것을 도와야 합니다. 개미가 911알의 식량을 필요로 하고 이미 762알을 가지고 있다면,",how many more grains are needed to be gathered?,얼마나 더 많은 곡식을 모아야 합니까?,Subtraction,149 (grains),911-762=149
32,nluds-0304,3,http://www.k5learning.com,"With the win streak that they have, Chuck's team was able to get into the playoffs. They reached the semi-finals where they played against the Black Team. If they finished the game with 83 points and won it by 18 points,",그들이 가진 연승으로 Chuck의 팀은 플레이오프에 진출할 수 있었습니다. 그들은 준결승에 진출하여 블랙 팀과 대결했습니다. 83점으로 경기를 끝내고 18점 차로 이기면,what is the Black Team's final score?,블랙팀의 최종 스코어는?,Subtraction,65 (points),83-18=65
33,nluds-1743,3,http://www.commoncoresheets.com,"Lana's mom was buying extra school supplies for her and her siblings. If she bought three packs of glue sticks with seven glue sticks in each pack,","Lana의 엄마는 그녀와 그녀의 형제들을 위해 추가 학용품을 구입하고 있었습니다. 그녀가 각 팩에 7개의 글루 스틱이 포함된 3개의 글루 스틱을 샀다면,",how many did she get total?,그녀는 총 몇 개를 얻었습니까?,Multiplication,21 (glue sticks),3*7=21
34,nluds-1854,1,http://www.commoncoresheets.com,"Dave had sixteen apps on his phone. After deleting some, he had eight left.",Dave는 휴대전화에 16개의 앱을 가지고 있었습니다. 일부를 삭제한 후 8개가 남았습니다.,How many apps did he delete?,그는 몇 개의 앱을 삭제했습니까?,Subtraction,8 (apps),16-8=8
35,nluds-0391,3,http://www.k5learning.com,"Annie takes trick or treating seriously. So, days before Halloween, she makes sure that the details of her trick or treating are well planned. First, she wanted to find out the number of houses in her village. If the village has 5 houses per block and has a total of 9 blocks,","Annie는 속임수를 진지하게 받아들입니다. 그래서 할로윈을 며칠 앞두고 그녀는 자신의 트릭이나 치료에 대한 세부 사항이 잘 계획되어 있는지 확인합니다. 먼저 그녀는 자신의 마을에 있는 집의 수를 알고 싶었습니다. 마을에 블록당 5채의 집이 있고 총 9블록이 있는 경우,",how many houses are there in her village?,그녀의 마을에는 집이 몇 채 있습니까?,Multiplication,45 (houses),5*9=45
36,nluds-0574,3,http://www.k5learning.com,Melissa scored 120 points in each game.,Melissa는 각 게임에서 120득점을 기록했습니다.,How many points did she score in 10 games?,그녀는 10경기에서 몇 점을 득점했습니까?,Multiplication,1200 (points),120*10=1200
37,nluds-1738,3,http://www.commoncoresheets.com,Emily is making bead necklaces for her friends. She has twenty-eight beads and each necklace takes seven beads.,Emily는 친구들을 위해 구슬 목걸이를 만들고 있습니다. 그녀는 28개의 구슬을 가지고 있으며 각 목걸이에는 7개의 구슬이 필요합니다.,How many necklaces can Emily make?,Emily는 몇 개의 목걸이를 만들 수 있습니까?,Common-Division,4 (necklaces),28/7=4
38,nluds-0044,1,http://www.k5learning.com,Mrs. Hilt had 15 cents. She bought a pencil for 11 cents.,힐트 부인은 15센트를 가지고 있었습니다. 그녀는 11센트에 연필을 샀다.,How much money did she have left?,그녀에게 남은 돈은 얼마입니까?,Subtraction,4 (cents),15-11=4
39,nluds-1283,2,Created by an Annotator,A store has forty-nine shirts. After selling some there were twenty-eight left.,한 가게에 49벌의 셔츠가 있습니다. 일부를 팔고 나서 28개가 남았습니다.,What's the difference between of the number of shirts before selling and after selling?,판매 전과 판매 후의 셔츠 수의 차이점은 무엇입니까?,Difference,21 (shirts),49-28=21
40,nluds-0475,3,http://www.k5learning.com,"It has been tradition in Shiela's home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members.",Shiela의 집에서는 각 가족 구성원을 위해 벽난로 위에 양말을 걸어두는 것이 전통이었습니다. 올해 그녀는 가족 5명의 양말에 매일 시나몬 공을 넣었습니다.,How long can she do this if she bought 50 cinnamon balls?,시나몬볼 50개를 사면 얼마나 오래 할 수 있습니까?,Common-Division,10 (days),50/5=10
41,nluds-0958,3,http://www.mathplayground.com,Zachary did 47 push-ups in gym class today. David did 15 more push-ups than Zachary.,Zachary는 오늘 체육관 수업에서 47개의 팔굽혀펴기를 했습니다. David는 Zachary보다 팔굽혀펴기 15개를 더 했습니다.,How many push-ups did David do?,David는 얼마나 많은 팔 굽혀 펴기를 했습니까?,Addition,62 (push-ups),47+15=62
42,nluds-1863,1,http://www.commoncoresheets.com,"A museum had thirteen paintings. If they got rid of eight of them,","박물관에는 13개의 그림이 있었습니다. 8개를 없애면,",how many pictures would they have left?,그들은 몇 장의 사진을 남겼을까요?,Subtraction,5 (pictures),13-8=5
43,nluds-1756,3,http://www.commoncoresheets.com,"Jerry is helping to put away books. If he has twelve books to put away and each shelf can hold four books,","Jerry는 책을 치우는 것을 돕고 있습니다. 그가 치워야 할 책이 열두 권 있고 각 선반에 네 권의 책을 담을 수 있다면,",how many shelves will he need?,그는 몇 개의 선반이 필요할까요?,Common-Division,3 (shelves),12/4=3
44,nluds-1746,3,http://www.commoncoresheets.com,Dave was making ice using ice trays. He originally had two ice cubes. But made seven more cubes.,Dave는 얼음 쟁반을 사용하여 얼음을 만들고 있었습니다. 그는 원래 두 개의 얼음 조각을 가지고 있었습니다. 그러나 7개의 큐브를 더 만들었습니다.,How many ice cubes did he have totaled?,그는 총 몇 개의 얼음 조각을 가졌습니까?,Addition,9 (ice cubes),2+7=9
45,nluds-1784,4,http://www.commoncoresheets.com,"For a potluck lunch Debby brought 10 bottles of soda. If everyone only drank 8 of the sodas,","포트럭 점심을 위해 Debby는 소다수 10병을 가져왔습니다. 모두가 탄산음료를 8잔만 마셨다면,",how many did she have to take back home?,그녀는 집에 얼마나 많은 것을 가지고 돌아가야 했습니까?,Subtraction,2 (sodas),10-8=2
46,nluds-0762,4,http://www.ck12.org,"A box can hold 18 pieces of chalk. If there are 3,484 pieces of chalk,","상자에는 18개의 분필을 담을 수 있습니다. 분필이 3,484개 있으면",how many boxes are full to hold all the chalk?,분필을 모두 담을 수 있는 상자는 몇 개입니까?,Ceil-Division,194 (boxes),3484/18=193 r10
47,nluds-2011,2,http://www.commoncoresheets.com,"At the arcade, Jerry won 29 tickets playing 'whack a mole' and 17 tickets playing 'skee ball'. If he spent 12 of his tickets on a hat,","아케이드에서 Jerry는 &#39;두더지 때리기&#39;로 29장의 티켓을, &#39;스키볼&#39;로 17장의 티켓을 획득했습니다. 만약 그가 그의 티켓 중 12장을 모자에 썼다면,",how many tickets does Jerry have left?,Jerry는 티켓이 몇 장 남았나요?,TVQ-Final,34 (tickets),29+17-12=34
48,nluds-1751,3,http://www.commoncoresheets.com,"The roller coaster at the state fair costs five tickets per ride. If you had ten tickets,","주립 박람회의 롤러코스터는 한 번 탈 때 5장의 티켓이 필요합니다. 10장의 티켓이 있다면,",how many times could you ride it?,몇 번이나 탈 수 있니?,Common-Division,2 (times),10/5=2
49,nluds-0029,1,http://www.k5learning.com,2 toucans are sitting on a tree limb. 1 more toucan joins them.,큰부리새 2마리가 나뭇가지에 앉아 있습니다. 1마리의 큰부리새가 더 합류합니다.,How many toucans in all?,큰부리새는 모두 몇 마리입니까?,Addition,3 (toucans),2+1=3
50,nluds-0379,3,http://www.k5learning.com,"They decided to hold the party in their backyard. If they have 8 sets of tables and each set has 7 chairs,","그들은 뒷마당에서 파티를 열기로 결정했습니다. 테이블이 8세트이고 각 세트에 의자가 7개 있는 경우,",how many chairs do they have for the guests?,손님을 위한 의자는 몇 개입니까?,Multiplication,56 (chairs),8*7=56
51,nluds-0111,2,http://www.k5learning.com,There were 14 kids on the soccer field. 22 kids decided to join in.,축구장에는 14명의 아이들이 있었습니다. 22명의 아이들이 참여하기로 결정했습니다.,Now how many kids are on the soccer field?,이제 축구장에 몇 명의 아이들이 있습니까?,Addition,36 (kids),14+22=36
52,nluds-0720,2,http://www.ck12.org,"At a store, there are 92 computers. 31 are sold. 20 are shipped away to a company.",상점에는 92대의 컴퓨터가 있습니다. 31개 판매합니다. 20개는 회사로 배송됩니다.,How many computers are left?,남은 컴퓨터는 몇 대입니까?,TVQ-Final,41 (computers),92-31-20=41
53,nluds-0347,3,http://www.k5learning.com,"He also needed some nails. If he already has 247 nails with him and he found another 144 in his toolshed,","그는 또한 손톱이 필요했습니다. 그가 이미 247개의 못을 가지고 있고 그의 도구 창고에서 또 다른 144개의 못을 발견했다면,",how many more nails does he need to buy if he needs a total of 500 nails?,총 500개의 못이 필요한 경우 몇 개의 못을 더 사야 합니까?,"{'@Subgoal-1': 'Addition', '#text': 'Subtraction'}",109 (nails),500-(247+144)=109
54,nluds-0792,3,http://www.ck12.org,There are 32 students in the class. The teacher divided them into 5 equal groups.,수업에 32명의 학생이 있습니다. 선생님은 그들을 5개의 동등한 그룹으로 나누었습니다.,How many students are there in each group?,각 그룹에 몇 명의 학생이 있습니까?,Floor-Division,6 (students),32/5=6 r2
55,nluds-0558,3,http://www.k5learning.com,There are 544 pots. Each pot has 32 flowers in it.,544개의 화분이 있습니다. 각 화분에는 32개의 꽃이 있습니다.,How many flowers are there in all?,꽃은 모두 몇 개입니까?,Multiplication,17408 (flowers),544*32=17408
56,nluds-1506,5,http://www.mathplayground.com,"To get to school, Chad must either walk around a circular lake or canoe across it. The diameter of the lake is 2 miles.",학교에 가려면 Chad는 원형 호수 주변을 걷거나 카누를 타고 건너야 합니다. 호수의 지름은 2마일입니다.,How much shorter is his trip if he canoes across the lake rather than walks around it? (Use the value of pi = 3.14),그가 호수 주변을 걷는 것보다 카누를 타고 호수를 가로질러 가로질러 간다면 그의 여행은 얼마나 짧아질까요? (파이 = 3.14의 값을 사용),Subtraction,1.14 (miles),3.14-2=1.14
57,nluds-0569,3,http://www.k5learning.com,Lukas averages 12 points per game in basketball.,Lukas는 농구에서 경기당 평균 12득점을 기록합니다.,How many points would he score in 5 games?,그는 5경기에서 몇 점을 득점할까요?,Multiplication,60 (points),12*5=60
