,@ID,@Grade,@Source,Body,Body_trans,Question,Question_trans,Solution-Type,Answer,Formula
0,nluds-1862,1,http://www.commoncoresheets.com,Cody had a bag of marbles. Later he gave five to his brother. Now Cody has seven marbles.,코디는 구슬이 든 가방을 가지고 있었습니다. 나중에 그는 형에게 다섯 개를 주었다. 이제 코디는 7개의 구슬을 가지고 있습니다.,How many marbles did Cody have to start with?,Cody는 몇 개의 구슬로 시작해야 합니까?,Addition,12 (marbles),5+7=12
1,nluds-0006,1,http://www.k5learning.com,Brian has four more plums than Paul. Paul has seven plums.,Brian은 Paul보다 자두가 4개 더 많습니다. 바울에게는 일곱 개의 자두가 있습니다.,How many plums does Brian have?,브라이언은 자두가 몇 개입니까?,Addition,11 (plums),4+7=11
2,nluds-0950,3,http://www.mathplayground.com,Evan has a large collection of books. He gave his best friend 14 books. He gave his little brother 8 books. Now Evan has 60 books in his collection.,Evan은 많은 책을 소장하고 있습니다. 그는 가장 친한 친구에게 14권의 책을 주었습니다. 그는 남동생에게 8권의 책을 주었습니다. 이제 Evan은 60권의 책을 소장하고 있습니다.,How many books did he have at first?,그는 처음에 몇 권의 책을 가지고 있었습니까?,TVQ-Initial,82 (books),60+14+8=82
3,nluds-1847,1,http://www.commoncoresheets.com,At the fair Megan had $17 to spend. She spent $6 on rides.,박람회에서 Megan은 17달러를 쓸 수 있었습니다. 그녀는 놀이기구에 6달러를 썼다.,How much money does she have left?,그녀에게 남은 돈은 얼마입니까?,Subtraction,11 (dollars),17-6=11
4,nluds-0302,3,http://www.k5learning.com,"Feeling sad about their loss on their first game, Chuck and his teammates were determined to win on their next match against the Yellow Team. They scored 72 points and the Yellow Team scored 55,","첫 번째 게임에서 패배한 것에 대해 슬펐던 Chuck과 그의 팀원들은 Yellow Team과의 다음 경기에서 승리하기로 결심했습니다. 72득점, 옐로우팀 55득점,",how large was their lead?,그들의 리드는 얼마나 컸습니까?,Subtraction,17 (points),72-55=17
5,nluds-2126,2,http://www.commoncoresheets.com,A fast food restaurant sold fifty-eight small hotdogs and twenty-one large hotdogs.,한 패스트푸드점에서 작은 핫도그 58개와 큰 핫도그 21개를 판매했습니다.,How many hotdogs did they sell total?,핫도그는 총 몇 개를 팔았습니까?,Addition,79 (hotdogs),58+21=79
6,nluds-0925,3,http://www.mathplayground.com,Lisa invited the entire third grade to her party. There are 48 students altogether. 23 of the students are boys and 25 are girls. 9 students will not be able to go to the party.,Lisa는 3학년 전체를 파티에 초대했습니다. 총 48명의 학생이 있습니다. 학생 중 23명이 남학생이고 25명이 여학생입니다. 9명의 학생은 파티에 갈 수 없습니다.,How many students will be there?,학생이 몇 명이나 될까요?,Subtraction,39 (students),48-9=39
7,nluds-0368,3,http://www.k5learning.com,"Next on her list are the homeless people where she spent a total of $900.00. If she gave $325.00 to the first set of homeless families and $260.00 to the second set of families,","그녀의 다음 목록은 그녀가 총 $900.00를 지출한 노숙자들입니다. 그녀가 첫 번째 노숙자 가족에게 $325.00, 두 번째 가족에게 $260.00를 주었다면,",how much did she give to the last set of homeless families?,그녀는 마지막 노숙자 가족에게 얼마를 주었습니까?,"{'@Subgoal-1': 'Addition', '#text': 'Subtraction'}",315 (dollars),900-(325+260)=315
8,nluds-0169,2,http://www.k5learning.com,Kate has 223 pennies. John has 388 pennies.,Kate는 223페니를 가지고 있습니다. 존은 388페니를 가지고 있습니다.,How many more pennies does John have?,John은 몇 페니를 더 가지고 있습니까?,Subtraction,165 (pennies),388-223=165
9,nluds-1287,1,Created by an Annotator,"A museum had fourteen paintings. After they got rid of some, they had four left.",박물관에는 14개의 그림이 있었습니다. 일부를 제거하고 나면 4개가 남았습니다.,What's the difference between the number of paintings before they got rid of and the left?,없애기 전의 그림의 수와 왼쪽의 그림 수의 차이는 무엇입니까?,Difference,10 (paintings),14-4=10
10,nluds-0133,2,http://www.k5learning.com,Connie has 41 red markers and 64 blue markers.,Connie는 41개의 빨간색 마커와 64개의 파란색 마커를 가지고 있습니다.,How many markers does she have altogether?,그녀는 모두 몇 개의 마커를 가지고 있습니까?,Addition,105 (markers),41+64=105
11,nluds-0262,3,http://www.k5learning.com,Next on his list is the nursing home near his office. There he 472 boxes of vitamins and 288 boxes of supplements.,그의 다음 목록은 그의 사무실 근처에 있는 요양원입니다. 그곳에서 그는 472상자의 비타민과 288상자의 보충제를 가지고 있습니다.,How many boxes of medicine did the nursing home receive from Mr. Anderson?,요양원은 Anderson씨로부터 몇 상자의 약을 받았습니까?,Addition,760 (boxes of medicine),472+288=760
12,nluds-0612,3,http://www.k5learning.com,"There were 3,409 pieces of candy in a jar. If 145 pieces were red and the rest were blue,","한 병에 3,409개의 사탕이 들어 있었습니다. 145개가 빨간색이고 나머지가 파란색이면",how many were blue?,파란색은 몇 개였나요?,Subtraction,3264 (pieces of candy),3409-145=3264
